Track Name,Artist,Artist URI,Artist Popularity,Artist Genres,Track Duration(ms),Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,Track ID,Uri,Track_href,Analysis_url,Duration_ms,Time_signature,Lyrics
First Person Shooter (feat. J. Cole),Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,"canadian hip hop, canadian pop, hip hop, pop rap, rap",247444,2023-10-06,90,0.47,0.64,2,-7.779,1,0.32,0.0277,0.0,0.382,0.248,163.92,audio_features,7aqfrAY2p9BUSiupwk3svU,spotify:track:7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/tracks/7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/audio-analysis/7aqfrAY2p9BUSiupwk3svU,247444,4,"(Pew, pew-pew)

First-person shooter mode, we turnin' your song to a funeral
To them niggas that say they wan' off us, you better be talkin' 'bout workin' in cubicles
Yeah, them boys had it locked, but I knew the code
Lot of niggas debatin' my numeral
Not the three, not the two, I'm the U-N-O
Yeah
Numero U-N-O
Me and Drizzy, this shit like the Super Bowl
Man, this shit damn near big as the-

Big as the what? Big as the what? Big as the what?
Big as the Super Bowl
But the difference is it's just two guys playin' shit that they did in the studio
Niggas usually send they verses back to me, and they be terrible, just like a two-year-old
I love a dinner with some fine women when they start debatin' about who the G.O.A.T
I'm like go on 'head, say it then, who the G.O.A.T.?
Who the G.O.A.T.? Who the G.O.A.T.? Who the G.O.A.T.?

Who you bitches really rootin' for?
Like a kid that act bad from January to November, nigga, it's just you and Cole
Big as the what? Big as the what? Big as the what? (Ayy)
Big as the Super Bowl

Niggas so thirsty to put me in beef
Dissectin' my words and start lookin' too deep
I look at the tweets and start suckin' my teeth
I'm lettin' it rock 'cause I love the mystique
I still wanna get me a song with YB
Can't trust everything that you saw on IG
"
Die For You - Remix,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,93,"canadian contemporary r&b, canadian pop, pop",232857,2023-02-24,82,0.531,0.525,1,-6.5,0,0.0671,0.232,0.0,0.441,0.502,66.9,audio_features,7oDd86yk8itslrA9HRP2ki,spotify:track:7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/tracks/7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/audio-analysis/7oDd86yk8itslrA9HRP2ki,232857,4,"I'm findin' ways to articulate the feelin' I'm goin' through
I just can't say I don't love you (yeah)
'Cause I love you, yeah
It's hard for me to communicate the thoughts that I hold
But tonight, I'm gon' let you know
Let me tell the truth
Baby, let me tell the truth, yeah

You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
You're scared to be lonely, especially in the night
I'm scared that I'll miss you, happens every time

I don't want this feelin', I can't afford love
I try to find reason to pull us apart
It ain't workin', 'cause you're perfect
And I know that you're worth it, I can't walk away (hey)

Even though we'rе goin' through it (ah, ah)
And if it makes you feel alone
Just know that I would die for you (ooh, ooh)
Baby, I would die for you, yeah
"
34+35,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,89,pop,173710,2020-10-30,80,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,audio_features,6Im9k8u9iIzKMrmV7BWtlF,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/tracks/6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/audio-analysis/6Im9k8u9iIzKMrmV7BWtlF,173711,4,"Hmm

You might think I'm crazy
The way I've been cravin'
If I put it quite plainly
Just give me them babies
So, what you doing tonight?
Better say, ""doin' you right"" (yeah)
Watching movies, but we ain't seen a thing tonight (yeah)

I don't wanna keep you up (you up)
But show me, can you keep it up? (It up?)
'Cause then I'll have to keep you up
Shit, maybe I'ma keep you up, boy

I've been drinking coffee (I've been drinking coffee)
And I've been eating healthy (and I've been eating healthy)
You know I keep it squeaky, yeah (you know I keep it squeaky)
Saving up my energy (yeah, yeah, saving up my energy)

Can you stay up all night?
Fuck me 'til the daylight
34, 35 (yeah, yeah, yeah, yeah)
Can you stay up all night? (All night?)
Fuck me 'til the daylight
34, 35 (yeah, yeah, yeah, yeah)

Can we stay up all night? Fuck a jet lag
You bring yo' fine ass and overnight bag
"
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,86,rap,221520,2022-12-02,92,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,audio_features,2dHHgzDwk4BJdRwy9uXhTO,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/tracks/2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/audio-analysis/2dHHgzDwk4BJdRwy9uXhTO,221520,4,"Man, we locked in right now HEROES & VILLIANS: Vilian Edition OG Ron C, DJ Chandlestick, moving at the chop starts We worldwide with this shit

Somebody said they say you
The person you are kissing wa-wasn't me
I- I would never ask you
I- I just kept it to myself
I- I don't wanna know
If you're playing me
Keep- keep it on the low
'Cause my heart can't take- take it anymore
And if you're creepin'
Pl- please don't let it show, oh, oh
Oh baby, I- I don't wanna know

Oh- oh yeah
Think a- about it when I hold you
Lo- lookin' in your eyes, I can't believe
I- I don't need to know the truth
Ba- baby. keep it to yourself

I- I don't wanna know
If you're playing me
Keep- keep it on the low
'Cau- 'cause my heart can't take- take it anymore
If- if you're creepin'
Please don't let it show
Oh- oh baby, I don't wanna know

Did he touch you better than me? (Touch you better than-)
I don't wanna know
Did he touch you better than me? (Touch you better than-)
I don't wanna know
"
vampire,Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG,87,pop,219724,2023-06-30,62,0.511,0.532,5,-5.745,1,0.056,0.169,0.0,0.311,0.322,137.827,audio_features,3k79jB4aGmMDUQzEwa46Rz,spotify:track:3k79jB4aGmMDUQzEwa46Rz,https://api.spotify.com/v1/tracks/3k79jB4aGmMDUQzEwa46Rz,https://api.spotify.com/v1/audio-analysis/3k79jB4aGmMDUQzEwa46Rz,219724,4,"I hate to give the satisfaction asking, ""How you're doing now?""
How's the castle built off people you pretend to care about?
Just what you wanted
Look at you, cool guy, you got it

I see the parties and the diamonds
Sometimes when I close my eyes
Six months of torture you sold as some forbidden paradise
I loved you truly
You gotta laugh at the stupidity

'Cause I've made some real big mistakes
But you make the worst one look fine
I should've known it was strange
You only come out at night

I used to think I was smart
But you made me look so naive
The way you sold me for parts
As you sunk your teeth into me, oh
Bloodsucker, dream crusher
"
The Box,Roddy Ricch,spotify:artist:757aE44tKEUQEqRuT6GnEB,75,"melodic rap, rap, trap",196652,2019-12-06,86,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,0nbXyq5TXYPCO7pr3N8S4I,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I,196653,4,"Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in a box, mmh

Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know, where you at, at?

I was out back, where the stash at?
Cruise the city in a bulletproof Cadillac (skrrt)
'Cause I know these niggas after where the bag at (yeah)
Gotta move smarter, gotta move harder
Niggas try to get me for my water
I'll lay his ass down on my son, or my daughter
I had the Draco with me, Dwayne Carter
Lotta niggas out here playin', ain't ballin'

I done out my whole arm in the rim, Vince Carter (yeah)
And I know probably get a key for the quarter
"
3D (feat. Jack Harlow),Jung Kook,spotify:artist:6HaGTQPmzraVmaVxvz6EUc,89,k-pop,201812,2023-09-29,89,0.853,0.824,1,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044,audio_features,6ehWdR7cGDXnT7aKEASJxE,spotify:track:6ehWdR7cGDXnT7aKEASJxE,https://api.spotify.com/v1/tracks/6ehWdR7cGDXnT7aKEASJxE,https://api.spotify.com/v1/audio-analysis/6ehWdR7cGDXnT7aKEASJxE,201812,4,"One, two, 3D

I can't touch you through the phone or kiss you through the universe
In another time zone, it's the only time I can't reverse
But when there's two dimensions, there's only one I'm missin'
And if you feel alone, you don't have to feel that no more

I just wanna see you like that
See you like that, uh-uh

So if you're ready (so if you're ready)
And if you'll let me (and if you'll let me)
I wanna see it in motion, in 3D (uh-uh)
You won't regret me (you won't regret me)
Champagne confetti (champagne confetti)
I wanna see it in motion, in 3D

'Cause you know how I like it, girl (girl)
3D (woo)
You know how I like it, girl (girl)
3D (woo)

Body to body to body to body to body
You and me baby, you know that we got it
So don't go gettin' me started
'Cause you know I get hot-hearted
Baby, oh, baby, oh, baby, you makin' me crazy
Rain, rain, rain, you can't fake it
You give me brand-new emotion
You got me drinkin' that potion

"
CUFF IT,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,84,"pop, r&b",225388,2022-07-29,84,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,audio_features,1xzi1Jcr7mEi9K2RfzLOqS,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/tracks/1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/audio-analysis/1xzi1Jcr7mEi9K2RfzLOqS,225389,4,"I feel like falling in love (falling in love)
I'm in the mood to roll something up (tonight I'm rolling something up, baby)
I need some drink in my cup (I need a drink), hey (pour me a drink)
I'm in the mood to pour something up (I'm in the mood to pour something up)

I wanna go missing, I need a prescription
I wanna go higher, can I sit on top of you? (Oh-la-la-la-la)
I wanna go where nobody's been (I wanna go where nobody's been)
Have you ever had fun like this? (Have you ever had fun like this?) oh, woah

We gon' roll up tonight, black lights
Spaceships fly (spaceships fly), yeah
Unapologetic when we pull up tonight (roll it up, roll it up), pull up tonight
We gettin' poured up tonight
We gon' pull up tonight

Bet you you'll see far
Bet you you'll see stars
Bet you you'll elevate
Bet you you'll need God
'Cause I feel like falling in love
I'm in the mood to pour something up
'Cause we gon' roll up tonight

What's in these four walls? You sexy, my love (turn it up)
Don't miss this roll call, is you here or what? (Roll it up), yeah
Show up, show up (show up, show up), pour up, pour up (pour up, pour up), oh
"
Laugh Now Cry Later (feat. Lil Durk),Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,"canadian hip hop, canadian pop, hip hop, pop rap, rap",261492,2020-08-14,80,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,audio_features,2SAqBLGA283SUiwJ3xOUVI,spotify:track:2SAqBLGA283SUiwJ3xOUVI,https://api.spotify.com/v1/tracks/2SAqBLGA283SUiwJ3xOUVI,https://api.spotify.com/v1/audio-analysis/2SAqBLGA283SUiwJ3xOUVI,261493,4,"Woah, woah
Yeah

Sometimes we laugh and sometimes we cry, but I guess you know now, baby
I took a half and she took the whole thing, slow down, baby (baby)
We took a trip, now we on your block and it's like a ghost town, baby
Where do these niggas be at when they say they doin' all this and all that?

Tired of beefin' you bums, you can't even pay me enough to react
Been wakin' up in the crib and sometimes I don't even know where I'm at
Please don't play that nigga songs in this party, I can't even listen to that
Anytime that I ran into somebody, it must be a victory lap, ayy
Shawty, come sit on my lap, ayy, they sayin' Drizzy just snap
Distance between us is not like a store, this isn't a closeable gap, ayy
I've seen some niggas attack and don't end up makin' it back

I know that they at the crib goin' crazy, down bad
What they had didn't last, damn, baby

Sometimes we laugh and sometimes we cry, but I guess you know now, baby
I took a half and she took the whole thing, slow down, baby (baby)
We took a trip, now we on your block and it's like a ghost town, baby
"
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,87,"art pop, pop",222369,2023-07-13,93,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,audio_features,6wf7Yu7cxBSPrRlWeSeK0Q,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/tracks/6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/audio-analysis/6wf7Yu7cxBSPrRlWeSeK0Q,222370,4,"Hm, hm

I used to float, now I just fall down
I used to know, but I'm not sure now
What I was made for

What was I made for?

Taking a drive, I was an ideal
Looked so alive, turns out I'm not real
Just something you paid for
What was I made for? Hm

'Cause I, I
"
Blinding Lights,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,93,"canadian contemporary r&b, canadian pop, pop",201573,2019-11-29,19,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,audio_features,0sf12qNH5qcw8qpgymFOqD,spotify:track:0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/tracks/0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/audio-analysis/0sf12qNH5qcw8qpgymFOqD,201573,4,"Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (oh)
No one's around to judge me (oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
"
MELTDOWN (feat. Drake),Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,91,"hip hop, rap, slap house",246133,2023-07-28,87,0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975,audio_features,67nepsnrcZkowTxMWigSbb,spotify:track:67nepsnrcZkowTxMWigSbb,https://api.spotify.com/v1/tracks/67nepsnrcZkowTxMWigSbb,https://api.spotify.com/v1/audio-analysis/67nepsnrcZkowTxMWigSbb,246134,4,"Yeah
Tensions is definitely rising
T'd up right now
T time, T time
T time, T time, T time

Tea time like I got a cup of this sh-
Tee time like golf at a quarter to six
I'd love to f- on a regular bitch
Famous h- lame but they stay on my d-
Heard your new joint, it's embarrassing, sh-
You talk to the cops on some therapist sh-
You act like you love this American sh-
But, really, the truth is you scared of the 6
Yeah, you scared of the 6
Yeah, you scared of the 6

Your bodyguard put in some work on a fluke
Now you wanna go and inherit that sh-
Don't talk to the boy 'bout comparisons, sh-
Or come to the boy on some arrogant sh-
The weapons we got are some terrorist sh-
Like TV producers we, grr, we airing this sh-
She askin' for bread for her parents and sh-
I told her, ""I don't got no cash"", and she said she gon' wait on a rack, on some Arabic sh-

I pull out a million and stare at the sh-
My d- just got hard 'cause a wire just hit
My schedule is out, come spin us, for real
Man, f- all that spinnin' the narrative sh-

I melt down the chains that I bought from yo' boss
Give a f- about all of that heritage sh-
"
Paint The Town Red,Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,87,"dance pop, pop",231750,2023-08-04,94,0.868,0.538,5,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,audio_features,2IGMVunIBsBLtEQyoI1Mu7,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,231750,4,"By
Walk on by
Walk on by
Walk on by (yeah)
Walk on by

Yeah, trick, I said what I said
I'd rather be famous instead (walk on by)
I let all that get to my head
I don't care, I paint the town red (walk on by)

Trick, I said what I said
I'd rather be famous instead (walk on by)
I let all that get to my head
I don't care, I paint the town red (walk on by)

Mm, she the devil
She a bad lil' b-, she a rebel (walk on by)
She put her foot to the pedal
It'll take a whole lot for me to settle (walk on by)

Mm, she the devil
She a bad lil' b-, she a rebel (walk on by)
She put her foot to the pedal
It'll take a whole lot (yeah) for me to settle (walk on by)

Yeah, said, my happiness is all of your misery
I put good all in my kidneys (walk on by)
This Margiel' don't come with no jealousy
My illness don't come with no remedy (walk on by)

I am so much fun without Hennessy
They just want my love and my energy (walk on by)
You can't talk no without penalties
- I'm in yo' - if you send for me (walk on by)

I'm goin' to glow up one more time
"
Single Soon,Selena Gomez,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,81,"pop, post-teen pop",171655,2023-08-25,86,0.61,0.571,2,-5.649,1,0.0782,0.00863,0.0,0.131,0.747,105.01,audio_features,6iF4RgIjDvDqyW13PezSj3,spotify:track:6iF4RgIjDvDqyW13PezSj3,https://api.spotify.com/v1/tracks/6iF4RgIjDvDqyW13PezSj3,https://api.spotify.com/v1/audio-analysis/6iF4RgIjDvDqyW13PezSj3,171655,4,"Should I do it on the phone?
Should I leave a little note
In the pocket of his coat? Yeah
Maybe I'll just disappear
I don't wanna see a tear
And the weekend's almost here

I'm pickin' out this dress, tryin' on these shoes
'Cause I'll be single soon, I'll be single soon
I know he'll be a mess when I break the news
But I'll be single soon, I'll be single soon

I'ma date who I wanna, stay out late if I wanna
I'ma do what I wanna do
I'm pickin' out this dress, tryin' on these shoes
'Cause I'll be single soon, I'll be single soon

"
What You Know Bout Love,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj,79,"brooklyn drill, rap",160000,2020-07-03,82,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,audio_features,1tkg4EHVoqnhR6iFEXb60y,spotify:track:1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/tracks/1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/audio-analysis/1tkg4EHVoqnhR6iFEXb60y,160000,4,"Uh

Shawty go jogging every morning (every morning)
And she make me breakfast almost every morning (every morning)
And she take a naked pic' before she leave the door
I be waking up to pics before a n- yawning

And every weekend, my shawty comin' over (over)
Shawty could Fendi out but she like Fashion Nova (Nova)
She ain't driving no Camry, she pullin' in a Rover (Rover)
With her hair so curly, I love you, baby

She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (oh)
Walk up in the store and get what you want (go get it)
You get what you please
We 'bout to get it on, take off them drawers (said I love you, baby)
"
